Date, Close/Last, Volume, Open, High, Low
11/20/2020,$192.75 ,511,$192.99 ,$193.05 ,$189.63 
11/19/2020,$192.99 ,1338,$189.50 ,$192.99 ,$189.50 
11/18/2020,$189.25 ,4359,$189.80 ,$191.85 ,$187.80 
11/17/2020,$191.75 ,1456,$193.60 ,$193.60 ,$190 
11/16/2020,$191.86 ,1224,$190.25 ,$193 ,$189.80 
11/13/2020,$187.90 ,1496,$185.60 ,$187.90 ,$185.60 
11/12/2020,$185.50 ,666,$182.55 ,$185.60 ,$182.55 
11/11/2020,$184.02 ,98,$186 ,$188 ,$184 
11/10/2020,$185.78 ,4111,$182.55 ,$186.54 ,$182.50 
11/9/2020,$176.54 ,3446,$183.75 ,$183.75 ,$175.98 
11/6/2020,$172.10 ,439,$169.50 ,$172.60 ,$168.30 
11/5/2020,$173.26 ,3560,$165.45 ,$173.50 ,$165.45 
11/4/2020,$165.01 ,165,$162.95 ,$167.30 ,$162.95 
11/3/2020,$169.50 ,4134,$161.60 ,$169.50 ,$161.60 
11/2/2020,$160.39 ,2626,$159.88 ,$162.08 ,$158.01 
10/30/2020,$156.30 ,1044,$158 ,$158.25 ,$155 
10/29/2020,$159.75 ,414,$158.55 ,$161 ,$157.36 
10/28/2020,$158.50 ,3161,$157.80 ,$158.95 ,$154.50 
10/27/2020,$165.20 ,1557,$168 ,$168.45 ,$165.20 
10/26/2020,$168.52 ,1367,$172.25 ,$172.25 ,$168.52 
10/23/2020,$175.15 ,169,$175 ,$176 ,$172.25 
10/22/2020,$174.05 ,259,$172.26 ,$174.05 ,$172 
10/21/2020,$172.26 ,274,$172.60 ,$175 ,$172.26 
10/20/2020,$173.50 ,1607,$174.54 ,$176 ,$173.13 
10/19/2020,$172.50 ,1884,$171.88 ,$175 ,$171.88 
10/16/2020,$174 ,1520,$169.75 ,$174 ,$169.75 
10/15/2020,$170.25 ,724,$167.50 ,$170.25 ,$165.80 
10/14/2020,$174.90 ,692,$172 ,$175.15 ,$172 
10/13/2020,$171.20 ,269,$172 ,$174.50 ,$170.75 
10/12/2020,$177.50 ,1860,$176.13 ,$178.25 ,$173.75 
